SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-3-2017,Single Family Residential,654 Fairview St,Oakland,CA,94609,850000,2,1.0,Oak/Berk Border,911,2520,1906,79,933,,Sold,,,http://www.redfin.com/CA/Oakland/654-Fairview-St-94609/home/1936326,EBRD/CCAR/Bay East,40784449,N,Y,37.8513153,-122.2644437
PAST SALE,July-6-2017,Single Family Residential,6319 Herzog St,Oakland,CA,94608,502000,1,1.0,Oakland,598,1360,1925,76,839,,Sold,,,http://www.redfin.com/CA/Oakland/6319-Herzog-St-94608/home/1095800,EBRD/CCAR/Bay East,40772029,N,Y,37.8468386,-122.2832189
PAST SALE,,Single Family Residential,6426 Herzog St,Oakland,CA,94608,1020000,3,2.0,,1852,4000,1908,,551,,,,,http://www.redfin.com/CA/Oakland/6426-Herzog-St-94608/home/1040348,,,N,Y,37.8477039,-122.283012
PAST SALE,,Single Family Residential,1064 67th St,Oakland,CA,94608,675000,2,1.0,,909,4000,1910,,743,,,,,http://www.redfin.com/CA/Oakland/1064-67th-St-94608/home/1670512,,,N,Y,37.8502978,-122.2841131
PAST SALE,August-22-2017,Single Family Residential,3116 Ellis St,Berkeley,CA,94703,588000,1,1.0,Berkeley,560,,1905,29,1050,133,Sold,,,http://www.redfin.com/CA/Berkeley/3116-Ellis-St-94703/home/17188080,EBRD/CCAR/Bay East,40788918,N,Y,37.8515548,-122.2731768
PAST SALE,August-22-2017,Condo/Co-op,3116 Ellis St Unit C,Berkeley,CA,94703,588000,1,1.0,Berkeley,560,,1905,29,1050,133,Sold,,,http://www.redfin.com/CA/Berkeley/3116-Ellis-St-94703/unit-C/home/12118537,EBRD/CCAR/Bay East,40788919,N,Y,37.8515548,-122.2731768
PAST SALE,August-23-2017,Single Family Residential,6538 Tremont St,Oakland,CA,94609,1140000,3,1.5,Oak/Berk Border,1265,4000,1910,28,901,,Sold,,,http://www.redfin.com/CA/Oakland/6538-Tremont-St-94609/home/1680277,EBRD/CCAR/Bay East,40789388,Y,Y,37.8509825,-122.2675078
PAST SALE,August-23-2017,Multi-Family (2-4 Unit),787 65th St,Oakland,CA,94609,1720787,4,3.0,N Oakland,2415,4800,1913,28,713,,Sold,,,http://www.redfin.com/CA/Oakland/787-65th-St-94609/home/142965964,EBRD/CCAR/Bay East,40790396,N,Y,37.8497974,-122.268181
PAST SALE,April-28-2017,Single Family Residential,1317 67th St,Berkeley,CA,94702,875000,4,3.0,Berkeley,1945,4410,1925,145,450,,Sold,,,http://www.redfin.com/CA/Berkeley/1317-67th-St-94702/home/1191000,EBRD/CCAR/Bay East,40760592,N,Y,37.8505828,-122.2821111
PAST SALE,August-28-2017,Single Family Residential,,Berkeley,CA,94703,1070000,3,2.0,Berkeley,1446,5130,1912,23,740,,Sold,,,http://www.redfin.com/CA/Berkeley/Undisclosed-address-94703/home/1905543,EBRD/CCAR/Bay East,40790645,N,Y,37.84643,-122.2734439
